longName,sharesHeld,marketValue,ticker
Apple Inc.,19008517,3394540966,AAPL
Microsoft Corp.,28669723,3179185583,MSFT
Visa Inc. Class A,6491887,919965307,V
Intel Corp.,18146857,894821519,INTC
Cisco Systems Inc.,18508471,886000507,CSCO
Mastercard Inc. Class A,3631018,730088789,MA
Oracle Corp.,11751130,572985099,ORCL
Adobe Inc.,1927473,483583701,ADBE
International Business Machines Corp.,3592211,446404061,IBM
Accenture plc Class A,2521639,414860048,ACN
salesforce.com Inc.,2829010,403869468,CRM
Broadcom Inc.,1698870,403328727,AVGO
Texas Instruments Inc.,3826049,382030993,TXN
PayPal Holdings Inc.,4425427,379745891,PYPL
NVIDIA Corp.,2273139,371499107,NVDA
QUALCOMM Inc.,5535055,322472304,QCOM
Automatic Data Processing Inc.,1723992,254150901,ADP
Intuit Inc.,959273,205792837,INTU
Micron Technology Inc.,4564265,175998058,MU
Cognizant Technology Solutions Corp. Class A,2283505,162654061,CTSH
Applied Materials Inc.,3868536,144219022,AMAT
HP Inc.,6227677,143236571,HPQ
Fidelity National Information Services Inc.,1294473,139738360,FIS
Analog Devices Inc.,1462594,134441640,ADI
ServiceNow Inc.,700088,129705304,NOW
Fiserv Inc.,1593381,126084239,FISV
Red Hat Inc.,698040,124642022,RHT
Autodesk Inc.,860415,124329968,ADSK
TE Connectivity Ltd.,1370377,105423103,TEL
Amphenol Corp. Class A,1182260,103967944,APH
Corning Inc.,3188302,102727090,GLW
Worldpay Inc. Class A,1187556,101904180,WP
Lam Research Corp.,620134,97336233,LRCX
Workday Inc. Class A,574690,94249160,WDAY
Xilinx Inc.,995330,92048118,XLNX
Paychex Inc.,1271484,89970208,PAYX
Hewlett Packard Enterprise Co.,5832263,87483945,HPE
Motorola Solutions Inc.,638677,83826356,MSI
Square Inc.,1186883,82891909,SQ
Dell Technologies Inc. Class V,784574,82756866,DVMT
Advanced Micro Devices Inc.,3644662,77631301,AMD
DXC Technology Co.,1106331,69743106,DXC
Global Payments Inc.,622425,69593339,GPN
Microchip Technology Inc.,927356,69551700,MCHP
NetApp Inc.,1020254,68224385,NTAP
VeriSign Inc.,431773,67382494,VRSN
FleetCor Technologies Inc.,347818,67268001,FLT
Splunk Inc.,570662,63760065,SPLK
Palo Alto Networks Inc.,365523,63217203,PANW
Maxim Integrated Products Inc.,1094409,61199351,MXIM
KLA-Tencor Corp.,614957,60610162,KLAC
Citrix Systems Inc.,533899,58178974,CTXS
Total System Services Inc.,645877,56430273,TSS
CDW Corp./DE,595737,55212905,CDW
Gartner Inc.,357986,54839875,IT
Symantec Corp.,2447920,54123511,SYMC
Synopsys Inc.,584892,53774970,SNPS
ANSYS Inc.,331817,53760990,ANSS
Western Digital Corp.,1146606,52044446,WDC
Skyworks Solutions Inc.,704405,51259552,SWKS
Cadence Design Systems Inc.,1113174,50137357,CDNS
VMware Inc. Class A,297315,49752692,VMW
Arista Networks Inc.,206130,49157882,ANET
Broadridge Financial Solutions Inc.,457587,48444736,BR
Seagate Technology plc,1074149,46285080,STX
Akamai Technologies Inc.,665871,45778631,AKAM
Keysight Technologies Inc.,737690,45603996,KEYS
GoDaddy Inc. Class A,651128,42492613,GDDY
Jack Henry & Associates Inc.,304145,42489057,JKHY
Fortinet Inc.,565639,41766784,FTNT
F5 Networks Inc.,239436,41175809,FFIV
SS&C Technologies Holdings Inc.,848738,40866735,SSNC
First Data Corp. Class A,2108665,40233328,FDC
Marvell Technology Group Ltd.,2444152,39375289,MRVL
Alliance Data Systems Corp.,194573,38984646,ADS
Juniper Networks Inc.,1357109,38962599,JNPR
PTC Inc.,440551,38103256,PTC
Zebra Technologies Corp.,211298,37991380,ZBRA
Trimble Inc.,984040,37423041,TRMB
Leidos Holdings Inc.,561781,35392203,LDOS
Tableau Software Inc. Class A,275693,34362376,DATA
Western Union Co.,1760476,32973715,WU
Qorvo Inc.,493191,32456900,QRVO
ON Semiconductor Corp.,1677139,32167526,ON
Ultimate Software Group Inc.,116654,30787324,ULTI
Cognex Corp.,677228,29811577,CGNX
Guidewire Software Inc.,317265,29492954,GWRE
Booz Allen Hamilton Holding Corp. Class A,559064,28685574,BAH
Tyler Technologies Inc.,144534,27860374,TYL
Sabre Corp.,1082508,27679730,SABR
Twilio Inc. Class A,287285,27145560,TWLO
Arrow Electronics Inc.,343543,26442505,ARW
WEX Inc.,170262,26385502,WEX
EPAM Systems Inc.,201279,26216590,EPAM
Teradyne Inc.,733804,26189465,TER
Paycom Software Inc.,195752,25989993,PAYC
Black Knight Inc.,558518,25323206,BKI
FLIR Systems Inc.,543443,24922296,FLIR
Zendesk Inc.,416959,24779873,ZEN
CDK Global Inc.,484026,24394910,CDK
Xerox Corp.,906154,24393666,XRX
Integrated Device Technology Inc.,508768,24390338,IDTI
National Instruments Corp.,494680,24219533,NATI
Aspen Technology Inc.,278392,24025230,AZPN
Euronet Worldwide Inc.,200545,23586097,EEFT
Fair Isaac Corp.,114702,22783258,FICO
Nutanix Inc.,495287,22144282,NTNX
RingCentral Inc. Class A,266930,22128497,RNG
IPG Photonics Corp.,147985,21036068,IPGP
Monolithic Power Systems Inc.,158135,20884889,MPWR
ARRIS International plc,674262,20834696,ARRS
HubSpot Inc.,145434,20219689,HUBS
Avnet Inc.,449291,19687932,AVT
Proofpoint Inc.,201126,19511233,PFPT
Cypress Semiconductor Corp.,1356907,18861007,CY
Littelfuse Inc.,98535,18854672,LFUS
LogMeIn Inc.,203838,18799979,LOGM
Ciena Corp.,565791,18456102,CIEN
Flex Ltd.,2097685,18354744,FLEX
Nuance Communications Inc.,1129041,18053366,NUAN
MAXIMUS Inc.,253691,18042504,MMS
Trade Desk Inc. Class A,125316,17851264,TTD
Dolby Laboratories Inc. Class A,253564,17850906,DLB
Teradata Corp.,468886,17644180,TDC
Cree Inc.,398851,17605283,CREE
MKS Instruments Inc.,216707,17002831,MKSI
Mellanox Technologies Ltd.,177186,16448176,MLNX
Entegris Inc.,555121,16320557,ENTG
CACI International Inc. Class A,96837,15969390,CACI
ViaSat Inc.,221632,15323636,VSAT
Universal Display Corp.,166230,15266563,OLED
RealPage Inc.,295401,15236784,RP
Silicon Laboratories Inc.,169904,15014416,SLAB
Versum Materials Inc.,429668,14883700,VSM
Jabil Inc.,593152,14811005,JBL
New Relic Inc.,166768,14540502,NEWR
FireEye Inc.,726030,14527860,FEYE
LiveRamp Holdings Inc.,305119,14432129,RAMP
j2 Global Inc.,194858,14382469,JCOM
Semtech Corp.,261707,13959451,SMTC
SYNNEX Corp.,172296,13911179,SNX
Blackbaud Inc.,189833,13905267,BLKB
First Solar Inc.,311532,13847597,FSLR
CommScope Holding Co. Inc.,754272,13652323,COMM
Coherent Inc.,95649,13214866,COHR
2U Inc.,224439,13104993,TWOU
ACI Worldwide Inc.,452124,13057341,ACIW
Tech Data Corp.,143504,12908185,TECD
Manhattan Associates Inc.,260238,12889588,MANH
NCR Corp.,464144,12861430,NCR
CoreLogic Inc./United States,317854,12860373,CLGX
Perspecta Inc.,588181,12416501,PRSP
Cabot Microelectronics Corp.,112630,12105472,CCMP
Science Applications International Corp.,167814,11666429,SAIC
Pure Storage Inc. Class A,614218,11614862,PSTG
Coupa Software Inc.,180096,11603585,COUP
Verint Systems Inc.,253448,11514143,VRNT
Lumentum Holdings Inc.,250551,11142003,LITE
Vishay Intertechnology Inc.,523625,10917581,VSH
Finisar Corp.,460963,10763486,FNSR
InterDigital Inc.,138110,10394159,IDCC
Qualys Inc.,130286,10261325,QLYS
Cornerstone OnDemand Inc.,186615,10192911,CSOD
CommVault Systems Inc.,172774,10183300,CVLT
Box Inc.,529683,9952744,BOX
Envestnet Inc.,176911,9666417,ENV
Ubiquiti Networks Inc.,86880,9468182,UBNT
Five9 Inc.,219090,9394579,FIVN
Rogers Corp.,72579,9338014,ROG
Ellie Mae Inc.,136907,9209734,ELLI
Bottomline Technologies DE Inc.,166846,9188209,EPAY
Conduent Inc.,713333,9144929,CNDT
Viavi Solutions Inc.,899102,9116894,VIAV
Belden Inc.,161576,9012709,BDC
Cirrus Logic Inc.,240233,8994324,CRUS
II-VI Inc.,237185,8875463,IIVI
Brooks Automation Inc.,280790,8524784,BRKS
Novanta Inc.,131055,8509401,NOVT
Paylocity Holding Corp.,126085,8457782,PCTY
NetScout Systems Inc.,315542,8450215,NTCT
Pegasystems Inc.,154911,8363645,PEGA
Anixter International Inc.,125559,8030754,AXE
EchoStar Corp. Class A,191053,7993658,SATS
ExlService Holdings Inc.,136918,7935767,EXLS
Plexus Corp.,126889,7745305,PLXS
Q2 Holdings Inc.,142379,7729756,QTWO
Travelport Worldwide Ltd.,503978,7700784,TVPT
Fabrinet,144309,7609414,FN
Itron Inc.,138699,7511938,ITRI
Zscaler Inc.,188518,7401217,ZS
Power Integrations Inc.,114835,7275946,POWI
Sanmina Corp.,268060,7248342,SANM
8x8 Inc.,367749,7248333,EGHT
Advanced Energy Industries Inc.,154074,7247641,AEIS
NETGEAR Inc.,125693,6963392,NTGR
